CustomerID,frequency_orders,monetary_total,monetary_mean,monetary_median,recency_days,orders_last_30d,spend_last_30d,orders_last_60d,spend_last_60d,orders_last_90d,spend_last_90d,trend_orders_30_vs_90,trend_spend_30_vs_90,churn
12346,1,77183.6,77183.6,77183.6,325,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1
12347,7,4310.0,23.681318681318682,17.0,1,1.0,224.82,2.0,1519.14,2.0,1519.14,0.6666666666666666,0.14855210704277236,0
12348,4,1797.24,57.97548387096774,41.76,74,0.0,0.0,0.0,0.0,1.0,310.0,0.5,0.003215434083601286,0
12349,1,1757.55,24.076027397260273,17.700000000000003,18,1.0,1757.55,1.0,1757.55,1.0,1757.55,1.0,1.0,0
12350,1,334.4,19.670588235294115,19.799999999999997,309,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1
12352,8,2506.04,29.482823529411764,17.700000000000003,35,0.0,0.0,1.0,311.73,3.0,944.23,0.25,0.001057943569290014,0
12353,1,89.0,22.25,18.8,203,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1
12354,1,1079.4,18.610344827586207,16.95,231,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1
12355,1,459.4,35.33846153846154,25.5,213,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1
12356,3,2811.43,47.65135593220339,34.8,22,1.0,58.349999999999994,1.0,58.349999999999994,1.0,58.349999999999994,1.0,1.0,0
12357,1,6207.67,47.38679389312977,35.400000000000006,32,0.0,0.0,1.0,6207.67,1.0,6207.67,0.5,0.00016106509123532092,0
12358,2,1168.06,61.47684210526315,71.4,1,1.0,683.2,1.0,683.2,1.0,683.2,1.0,1.0,0
12359,4,6372.58,25.695887096774193,17.700000000000003,57,0.0,0.0,1.0,2876.85,1.0,2876.85,0.5,0.0003474816269089772,0
12360,3,2662.06,20.63612403100775,15.6,51,0.0,0.0,1.0,1043.78,1.0,1043.78,0.5,0.000957139302054021,0
12361,1,189.9,18.990000000000002,17.700000000000003,286,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1
12362,10,5226.23,19.647481203007516,16.95,2,1.0,529.04,5.0,2648.89,6.0,3478.88,0.2857142857142857,0.1523155970895548,0
12363,2,552.0,24.0,17.4,109,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1
12364,4,1313.1,15.448235294117646,13.200000000000001,7,1.0,310.32,2.0,609.38,3.0,689.18,0.5,0.45107073517053525,0
12365,2,641.38,29.153636363636362,16.0,290,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1
12367,1,168.9,15.354545454545455,13.5,3,1.0,168.9,1.0,168.9,1.0,168.9,1.0,1.0,0
12370,4,3545.69,21.231676646706585,15.0,50,0.0,0.0,1.0,739.28,1.0,739.28,0.5,0.0013508402226184687,0
12371,2,1887.96,29.96761904761905,22.5,44,0.0,0.0,2.0,1887.96,2.0,1887.96,0.3333333333333333,0.0005293918346603422,0
12372,3,1298.04,24.962307692307693,19.799999999999997,71,0.0,0.0,0.0,0.0,1.0,383.12,0.5,0.002603353118817036,0
12373,1,364.6,26.042857142857144,22.65,310,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1
